DATE,Construction,Legal,CustomerService,Architecture,Community_SocialService,ScientificResearch_Development,Security_PublicSafety,Driving,LogisticsSupport,Dental,Admininstrative,Productions_Manufacturing,Loading_Stocking,Childcare,Nursing,Insurance,MedicalTechnician,Marketing,ITOperations_Helpdesk,Installation_Maintenance,MedicalInformation,Retail,IndustrialEngineering,ProjectManagement,Accounting,Mathematics,Banking_Finance,PersonalCare_HomeHealth,Sports,CilvilEngineering,Management,Media_Communication,ElectricalEngineering,Education_Instruction,InformationDesign_Documentation,Hospitality_Tourism,FoodPreparation_Service,HumanResource,Therapy,Beauty_Wellness,Veterinary,Physicians_Surgeons,Cleaning_Sanitation,SoftwareDevelopment,Sales,Arts_Entertainment
2020-02-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-02-02,99.53,99.95,100.05,99.93,100.04,100.01,99.83,99.39,99.61,100.23,99.87,99.81,99.76,99.44,99.84,100.24,100.01,100.0,99.89,99.99,100.07,99.66,99.88,99.96,99.84,99.82,100.11,100.23,99.81,99.91,100.17,99.78,99.99,100.18,99.62,100.01,99.8,99.72,100.03,99.82,99.9,100.22,99.88,99.75,99.83,99.56
2020-02-03,99.17,99.93,100.19,99.89,100.14,100.02,99.65,98.84,99.19,100.43,99.91,99.7,99.63,98.9,99.72,100.52,100.07,100.04,99.82,100.12,100.2,99.14,99.74,99.95,99.68,99.48,100.16,100.47,99.59,99.92,100.33,99.54,99.95,100.33,99.44,100.02,99.67,99.7,100.01,99.69,99.9,100.41,99.89,99.55,99.71,99.18
2020-02-04,98.79,99.96,100.35,99.81,100.22,100.05,99.46,98.49,98.73,100.66,99.85,99.67,99.59,98.87,99.68,100.79,100.1,100.09,99.68,100.25,100.25,99.02,99.48,99.88,99.51,99.26,100.05,100.81,99.34,99.98,100.49,99.26,99.94,100.6,99.2,100.16,99.5,99.74,99.86,99.7,99.87,100.41,99.83,99.3,99.65,98.72
2020-02-05,98.57,99.9,100.55,99.87,100.21,100.08,99.25,97.31,98.5,100.83,99.83,99.71,99.61,98.89,99.6,101.19,100.04,100.18,99.67,100.48,100.27,98.93,99.4,99.84,99.47,99.17,100.19,101.09,99.31,100.07,100.75,99.24,99.96,100.85,99.05,100.56,99.38,99.85,99.45,98.81,100.16,100.58,99.77,99.23,99.62,98.47
2020-02-06,98.31,99.8,100.77,99.93,100.25,100.09,98.97,96.28,98.23,100.98,99.89,99.7,99.78,98.93,99.66,101.34,100.06,100.27,99.64,100.69,100.29,98.7,99.29,99.8,99.54,99.17,100.25,101.32,99.2,100.12,101.03,99.34,99.98,101.08,98.88,100.71,99.31,99.93,99.42,98.71,101.09,100.74,99.71,99.13,99.58,98.28
2020-02-07,98.08,99.66,100.76,99.73,100.29,100.15,98.69,95.56,97.85,100.97,99.9,99.72,99.79,98.9,99.63,101.51,100.06,100.35,99.57,100.49,100.34,98.43,99.18,99.73,99.41,99.33,100.22,101.71,99.08,100.06,100.87,99.44,99.97,101.27,98.72,100.27,99.18,99.93,99.31,98.53,101.95,100.83,99.62,99.02,99.51,98.19
2020-02-08,97.95,99.68,100.95,99.7,100.28,100.16,98.6,94.58,97.52,100.94,100.06,99.78,100.37,98.81,99.64,101.66,100.08,100.56,99.57,100.5,100.4,98.44,99.24,99.79,100.09,99.65,100.41,102.05,98.91,100.1,100.86,99.69,100.14,101.46,98.76,99.86,99.01,100.08,99.08,98.32,102.4,100.86,99.58,99.13,99.56,98.32
2020-02-09,97.82,99.6,101.01,99.63,100.15,100.14,98.41,94.19,97.1,100.65,100.17,99.81,100.62,98.65,99.62,101.76,100.07,100.71,99.56,100.48,100.4,98.41,99.27,99.77,100.28,99.95,100.34,102.23,98.78,100.17,100.84,99.94,100.29,101.54,98.77,99.44,98.81,100.12,98.81,98.13,102.72,100.82,99.48,99.22,99.61,98.47
2020-02-10,97.55,99.5,101.1,99.57,100.08,100.08,98.31,93.95,96.67,100.39,100.31,99.84,100.89,98.48,99.6,101.9,100.08,101.0,99.56,100.41,100.4,98.66,99.33,99.81,100.56,100.51,101.05,102.42,98.76,100.25,100.86,100.29,100.5,101.63,98.86,99.09,98.61,100.21,98.56,97.9,103.03,100.82,99.32,99.34,99.64,98.68
