DATE,PAYEMS
2018-08-01,149272
2018-09-01,149361
2018-10-01,149526
2018-11-01,149622
2018-12-01,149805
2019-01-01,150114
2019-02-01,150092
2019-03-01,150320
2019-04-01,150563
2019-05-01,150630
2019-06-01,150797
2019-07-01,150879
2019-08-01,151111
2019-09-01,151318
2019-10-01,151447
2019-11-01,151662
2019-12-01,151764
2020-01-01,152098
2020-02-01,152371
2020-03-01,150944
2020-04-01,130430
2020-05-01,133055
2020-06-01,137620
2020-07-01,139064
2020-08-01,140799
2020-09-01,141760
2020-10-01,142479
2020-11-01,142743
2020-12-01,142475
2021-01-01,142969
2021-02-01,143544
2021-03-01,144328
2021-04-01,144614
2021-05-01,145096
2021-06-01,145789
2021-07-01,146558
2021-08-01,147221
2021-09-01,147778
2021-10-01,148559
2021-11-01,149173
2021-12-01,149742
2022-01-01,150106
2022-02-01,151010
2022-03-01,151424
2022-04-01,151678
2022-05-01,152042
2022-06-01,152412
2022-07-01,152980
2022-08-01,153332
2022-09-01,153682
2022-10-01,154006
2022-11-01,154296
2022-12-01,154535
2023-01-01,155007
2023-02-01,155255
2023-03-01,155472
2023-04-01,155689
2023-05-01,155970
2023-06-01,156075
2023-07-01,156232
2023-08-01,156419
