Date,initclaims_count_regular,contclaims_count_regular,initclaims_count_pua,contclaims_count_peuc,contclaims_count_pua,initclaims_count_combined,contclaims_count_combined,initclaims_rate_regular,contclaims_rate_regular,initclaims_rate_pua,contclaims_rate_peuc,contclaims_rate_pua,initclaims_rate_combined,contclaims_rate_combined
2020-01-04,333862,2124746,0.0,0.0,0.0,333862.0,2124746.0,0.205,1.3,0.0,0.0,0.0,0.205,1.3
2020-01-11,336451,2231589,0.0,0.0,0.0,336451.0,2231589.0,0.206,1.37,0.0,0.0,0.0,0.206,1.37
2020-01-18,277748,2116200,0.0,0.0,0.0,277748.0,2116200.0,0.17,1.3,0.0,0.0,0.0,0.17,1.3
2020-01-25,225390,2055963,0.0,0.0,0.0,225390.0,2055963.0,0.138,1.26,0.0,0.0,0.0,0.138,1.26
2020-02-01,222049,2126523,0.0,0.0,0.0,222049.0,2126523.0,0.136,1.3,0.0,0.0,0.0,0.136,1.3
2020-02-08,217127,2061719,0.0,0.0,0.0,217127.0,2061719.0,0.133,1.26,0.0,0.0,0.0,0.133,1.26
2020-02-15,207101,2074809,0.0,0.0,0.0,207101.0,2074809.0,0.127,1.27,0.0,0.0,0.0,0.127,1.27
2020-02-22,197034,2037237,0.0,0.0,0.0,197034.0,2037237.0,0.121,1.25,0.0,0.0,0.0,0.121,1.25
2020-02-29,214913,2079767,0.0,0.0,0.0,214913.0,2079767.0,0.132,1.28,0.0,0.0,0.0,0.132,1.28
2020-03-07,198167,2033416,0.0,0.0,0.0,198167.0,2033416.0,0.122,1.25,0.0,0.0,0.0,0.122,1.25
2020-03-14,250184,1954796,0.0,0.0,0.0,250184.0,1954796.0,0.153,1.2,0.0,0.0,0.0,0.153,1.2
2020-03-21,2892241,2053499,0.0,0.0,0.0,2892241.0,2053499.0,1.77,1.26,0.0,0.0,0.0,1.77,1.26
2020-03-28,5931944,3387289,0.0,0.0,0.0,5931944.0,3387289.0,3.64,2.08,0.0,0.0,0.0,3.64,2.08
2020-04-04,6088338,8097593,32078.0,5951.0,87879.0,6120416.0,8191423.0,3.73,4.96,0.0197,0.00365,0.0539,3.75,5.02
2020-04-11,4847432,12341219,78893.0,33850.0,236753.0,4926325.0,12611822.0,2.97,7.57,0.0484,0.0208,0.145,3.02,7.73
2020-04-18,4185957,16118563,218500.0,66456.0,1193567.0,4404457.0,17378586.0,2.57,9.88,0.134,0.0407,0.732,2.7,10.7
2020-04-25,3437115,17577734,681580.0,94749.0,3651059.0,4118695.0,21323542.0,2.11,10.8,0.418,0.0581,2.24,2.53,13.1
2020-05-02,2761005,21556586,1048848.0,177133.0,6381197.0,3809853.0,28114916.0,1.69,13.2,0.643,0.109,3.91,2.34,17.2
2020-05-09,2298881,20631926,889228.0,253292.0,8135559.0,3188109.0,29020777.0,1.41,12.7,0.545,0.155,4.99,1.95,17.8
2020-05-16,2140951,22812458,1271949.0,276225.0,10960839.0,3412900.0,34049522.0,1.31,14.0,0.78,0.169,6.72,2.09,20.9
2020-05-23,1872804,18769980,1285674.0,599951.0,9967863.0,3158478.0,29337794.0,1.15,11.5,0.788,0.368,6.11,1.94,18.0
2020-05-30,1593765,18873997,778156.0,1136536.0,9517524.0,2371921.0,29528057.0,0.977,11.6,0.477,0.697,5.84,1.45,18.1
2020-06-06,1537093,18852886,683242.0,938025.0,11200356.0,2220335.0,30991267.0,0.942,11.6,0.419,0.575,6.87,1.36,19.0
2020-06-13,1437661,18412846,744946.0,827826.0,12827951.0,2182607.0,32068623.0,0.881,11.3,0.457,0.508,7.87,1.34,19.7
